"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"31.03.2021","1.14087","1.16942","1.18529","1.07875","22.38M","-2.44%"
"30.03.2021","1.16942","1.13953","1.20981","1.12313","33.60M","2.92%"
"29.03.2021","1.13626","1.12077","1.14511","1.07623","25.72M","1.51%"
"28.03.2021","1.11939","1.08166","1.14800","1.05555","36.01M","3.49%"
"27.03.2021","1.08166","1.07410","1.08810","1.01131","23.82M","0.70%"
"26.03.2021","1.07410","0.97348","1.09050","0.97348","33.03M","10.34%"
"25.03.2021","0.97348","0.99107","1.01429","0.93429","25.95M","-1.78%"
"24.03.2021","0.99107","1.05194","1.12291","0.94638","34.67M","-5.79%"
"23.03.2021","1.05194","1.08553","1.11448","1.02801","29.80M","-3.09%"
"22.03.2021","1.08553","1.12432","1.20800","1.07540","61.21M","-3.45%"
"21.03.2021","1.12432","1.08189","1.13707","1.06190","28.32M","3.92%"
"20.03.2021","1.08189","1.18415","1.22688","1.07919","36.44M","-8.64%"
"19.03.2021","1.18415","1.20290","1.24116","1.15069","55.21M","-1.56%"
"18.03.2021","1.20290","1.23327","1.37758","1.19118","133.53M","-2.46%"
"17.03.2021","1.23327","1.02896","1.34496","0.94375","373.53M","19.86%"
"16.03.2021","1.02896","0.76011","1.17479","0.73014","218.22M","35.37%"
"15.03.2021","0.76010","0.76656","0.80713","0.72047","28.49M","-1.04%"
"14.03.2021","0.76806","0.81454","0.85006","0.76806","27.17M","-5.71%"
"13.03.2021","0.81454","0.75556","0.83519","0.72213","37.41M","7.81%"
"12.03.2021","0.75556","0.80174","0.81350","0.73178","34.07M","-5.76%"
"11.03.2021","0.80174","0.81926","0.85765","0.77775","50.20M","-2.14%"
"10.03.2021","0.81927","0.74688","0.87827","0.69408","112.53M","9.81%"
"09.03.2021","0.74609","0.74191","0.76332","0.70298","33.37M","0.56%"
"08.03.2021","0.74191","0.69522","0.74191","0.66457","35.77M","6.72%"
"07.03.2021","0.69521","0.66461","0.72564","0.66183","34.08M","4.60%"
"06.03.2021","0.66461","0.67879","0.69727","0.63418","25.58M","-2.09%"
"05.03.2021","0.67879","0.69147","0.72227","0.63399","54.83M","-1.83%"
"04.03.2021","0.69147","0.76372","0.79286","0.66539","89.59M","-9.46%"
"03.03.2021","0.76372","0.60242","0.83833","0.59319","191.79M","26.78%"
"02.03.2021","0.60242","0.58522","0.62820","0.55414","52.20M","2.94%"
"01.03.2021","0.58522","0.52626","0.59662","0.51984","50.83M","11.20%"
"28.02.2021","0.52626","0.51439","0.53624","0.45922","45.92M","2.31%"
"27.02.2021","0.51439","0.52582","0.56759","0.50214","64.05M","-2.17%"
"26.02.2021","0.52581","0.48123","0.55510","0.44215","102.45M","9.27%"
"25.02.2021","0.48122","0.51374","0.53803","0.47564","39.25M","-6.33%"
"24.02.2021","0.51374","0.47704","0.54984","0.44569","70.75M","7.78%"
"23.02.2021","0.47665","0.53837","0.54836","0.39703","99.55M","-11.46%"
"22.02.2021","0.53837","0.60614","0.64038","0.45688","72.89M","-11.18%"
"21.02.2021","0.60614","0.57861","0.60942","0.56334","36.96M","4.76%"
"20.02.2021","0.57861","0.61314","0.63314","0.54653","51.28M","-5.63%"
"19.02.2021","0.61316","0.63293","0.65596","0.59511","38.52M","-3.12%"
"18.02.2021","0.63291","0.57478","0.64798","0.57478","44.62M","10.28%"
"17.02.2021","0.57390","0.55591","0.59634","0.50844","40.25M","3.24%"
"16.02.2021","0.55590","0.53828","0.59026","0.52299","44.37M","3.28%"
"15.02.2021","0.53827","0.55840","0.59576","0.45669","64.12M","-3.61%"
"14.02.2021","0.55840","0.61703","0.62588","0.54276","40.97M","-9.50%"
"13.02.2021","0.61702","0.62710","0.69390","0.58100","62.71M","-1.61%"
"12.02.2021","0.62710","0.59261","0.70274","0.54991","131.61M","5.82%"
"11.02.2021","0.59261","0.44335","0.66831","0.43292","171.53M","33.25%"
"10.02.2021","0.44472","0.43371","0.46150","0.39521","56.17M","2.52%"
"09.02.2021","0.43381","0.41801","0.44930","0.40353","49.38M","3.78%"
"08.02.2021","0.41801","0.40681","0.43100","0.38821","62.00M","2.75%"
"07.02.2021","0.40681","0.35271","0.42690","0.34566","114.14M","15.34%"
"06.02.2021","0.35271","0.37179","0.37357","0.33993","38.50M","-5.13%"
"05.02.2021","0.37179","0.31260","0.37499","0.31260","74.93M","18.93%"
"04.02.2021","0.31260","0.32200","0.32609","0.30451","38.71M","-2.92%"
"03.02.2021","0.32200","0.31710","0.32780","0.31221","39.56M","1.54%"
"02.02.2021","0.31710","0.31719","0.32289","0.30582","29.20M","-0.03%"
"01.02.2021","0.31719","0.30281","0.31900","0.29101","33.24M","4.75%"
"31.01.2021","0.30281","0.31639","0.32350","0.29532","28.54M","-4.15%"
"30.01.2021","0.31590","0.30901","0.32231","0.29590","30.34M","2.23%"
"29.01.2021","0.30901","0.30582","0.31449","0.28990","51.46M","1.11%"
"28.01.2021","0.30562","0.30284","0.31949","0.29808","47.33M","0.45%"
"27.01.2021","0.30424","0.29926","0.31607","0.27166","45.87M","1.66%"
"26.01.2021","0.29927","0.30141","0.30930","0.28084","47.23M","-0.80%"
"25.01.2021","0.30169","0.31841","0.33899","0.29710","55.20M","-5.25%"
"24.01.2021","0.31841","0.32956","0.33368","0.30620","51.21M","-3.38%"
"23.01.2021","0.32956","0.31456","0.36109","0.30996","148.64M","4.76%"
"22.01.2021","0.31459","0.24378","0.34634","0.22860","233.40M","29.05%"
"21.01.2021","0.24378","0.27859","0.28018","0.24259","40.15M","-12.50%"
"20.01.2021","0.27860","0.26841","0.28807","0.25251","38.32M","3.80%"
"19.01.2021","0.26840","0.28272","0.29119","0.26769","36.30M","-5.06%"
"18.01.2021","0.28272","0.27360","0.29812","0.26741","50.17M","3.33%"
"17.01.2021","0.27360","0.26650","0.27930","0.24942","39.19M","2.66%"
"16.01.2021","0.26650","0.24735","0.28667","0.24735","97.59M","7.77%"
"15.01.2021","0.24729","0.24657","0.25938","0.22751","39.11M","0.29%"
"14.01.2021","0.24658","0.24951","0.25515","0.23880","27.05M","-1.17%"
"13.01.2021","0.24951","0.23130","0.24970","0.22413","23.90M","7.87%"
"12.01.2021","0.23130","0.23051","0.24828","0.22304","33.50M","0.34%"
"11.01.2021","0.23051","0.25721","0.25751","0.20185","63.04M","-10.38%"
"10.01.2021","0.25721","0.27452","0.29450","0.23769","63.41M","-6.30%"
"09.01.2021","0.27452","0.25109","0.28720","0.24370","59.08M","9.33%"
"08.01.2021","0.25109","0.25637","0.27350","0.23983","49.03M","-2.06%"
"07.01.2021","0.25637","0.25013","0.28361","0.24500","78.49M","2.50%"
"06.01.2021","0.25013","0.23120","0.25501","0.22718","58.28M","8.19%"
"05.01.2021","0.23120","0.21839","0.23250","0.21613","43.16M","5.91%"
"04.01.2021","0.21829","0.21709","0.23600","0.20355","49.36M","0.55%"
"03.01.2021","0.21709","0.20389","0.21960","0.19972","36.08M","6.47%"
"02.01.2021","0.20389","0.20422","0.20909","0.19911","24.99M","-0.16%"
"01.01.2021","0.20422","0.19958","0.21040","0.19792","18.22M","2.32%"
"31.12.2020","0.19958","0.20129","0.20239","0.19501","17.55M","-0.85%"
"30.12.2020","0.20129","0.20630","0.20759","0.19881","14.13M","-2.43%"
"29.12.2020","0.20630","0.21071","0.21390","0.19694","25.87M","-2.09%"
"28.12.2020","0.21071","0.20871","0.21979","0.20730","22.97M","0.96%"
"27.12.2020","0.20871","0.21379","0.22149","0.20283","26.21M","-2.38%"
"26.12.2020","0.21379","0.21399","0.21638","0.20491","22.96M","-0.10%"
"25.12.2020","0.21399","0.21790","0.22519","0.21171","23.22M","-1.80%"
"24.12.2020","0.21790","0.19328","0.22090","0.18802","37.17M","12.74%"
"23.12.2020","0.19328","0.21830","0.22030","0.18082","30.20M","-11.46%"
"22.12.2020","0.21830","0.22384","0.22699","0.21071","24.66M","-2.47%"
"21.12.2020","0.22384","0.23210","0.24059","0.21898","20.64M","-3.60%"
"20.12.2020","0.23220","0.24451","0.24500","0.23011","27.01M","-5.03%"
"19.12.2020","0.24451","0.24971","0.26309","0.24441","30.96M","-2.08%"
"18.12.2020","0.24971","0.22659","0.26179","0.22370","62.51M","10.20%"
"17.12.2020","0.22659","0.23298","0.23800","0.22351","24.80M","-2.74%"
"16.12.2020","0.23298","0.21811","0.23319","0.21662","28.47M","6.82%"
"15.12.2020","0.21811","0.21810","0.22230","0.21340","11.09M","0.00%"
"14.12.2020","0.21810","0.21311","0.21979","0.21073","9.64M","2.34%"
"13.12.2020","0.21311","0.21101","0.21879","0.20701","12.44M","0.99%"
"12.12.2020","0.21101","0.20301","0.21469","0.20251","18.32M","3.94%"
"11.12.2020","0.20301","0.20860","0.20950","0.20061","15.27M","-2.64%"
"10.12.2020","0.20850","0.21971","0.22050","0.20791","12.85M","-5.10%"
"09.12.2020","0.21971","0.21981","0.22069","0.20683","24.09M","-0.18%"
"08.12.2020","0.22010","0.23570","0.23860","0.21722","18.23M","-6.62%"
"07.12.2020","0.23570","0.23730","0.23910","0.23112","10.42M","-0.68%"
"06.12.2020","0.23730","0.23581","0.23770","0.22750","11.22M","0.63%"
"05.12.2020","0.23581","0.22854","0.23609","0.22571","8.39M","3.18%"
"04.12.2020","0.22854","0.24300","0.25030","0.22591","25.40M","-5.95%"
"03.12.2020","0.24300","0.24191","0.24849","0.23931","15.50M","0.29%"
"02.12.2020","0.24230","0.23492","0.24490","0.23071","16.26M","3.14%"
